date,favored_team,underdog_team,spread
2020-07-30,Los Angeles Lakers,LA Clippers,4.0
2020-07-31,Sacramento Kings,San Antonio Spurs,3.5
2020-07-31,Dallas Mavericks,Houston Rockets,1.0
2020-08-01,Los Angeles Lakers,Toronto Raptors,2.5
2020-08-02,Milwaukee Bucks,Houston Rockets,5.0
2020-08-02,Dallas Mavericks,Phoenix Suns,6.0
2020-08-03,Philadelphia 76ers,San Antonio Spurs,7.0
2020-08-03,Los Angeles Lakers,Utah Jazz,6.0
2020-08-04,Houston Rockets,Portland Trail Blazers,3.0
2020-08-05,Toronto Raptors,Orlando Magic,7.5
2020-08-05,Boston Celtics,Brooklyn Nets,8.5
2020-08-06,Portland Trail Blazers,Denver Nuggets,4.5
2020-08-06,Houston Rockets,Los Angeles Lakers,3.5
2020-08-07,Toronto Raptors,Boston Celtics,1.5
2020-08-07,New Orleans Pelicans,Washington Wizards,8.5
2020-08-08,Phoenix Suns,Miami Heat,4.0
2020-08-08,Milwaukee Bucks,Dallas Mavericks,6.0
2020-08-09,Houston Rockets,Sacramento Kings,4.5
2020-08-09,LA Clippers,Brooklyn Nets,10.0
2020-08-10,Los Angeles Lakers,Denver Nuggets,5.0
2020-08-10,Miami Heat,Indiana Pacers,3.5
2020-08-11,Sacramento Kings,New Orleans Pelicans,3.0
2020-08-11,Milwaukee Bucks,Washington Wizards,8.5
2020-08-12,Miami Heat,Oklahoma City Thunder,4.0
2020-08-12,LA Clippers,Denver Nuggets,5.5
2020-08-13,Portland Trail Blazers,Brooklyn Nets,10.5
2020-08-13,Orlando Magic,New Orleans Pelicans,4.0
2020-08-14,Houston Rockets,Philadelphia 76ers,3.5
2020-08-17,LA Clippers,Dallas Mavericks,6.5
2020-08-18,Los Angeles Lakers,Portland Trail Blazers,6.5
2020-08-19,LA Clippers,Dallas Mavericks,5.5
2020-08-20,Los Angeles Lakers,Portland Trail Blazers,6.5
2020-08-21,LA Clippers,Dallas Mavericks,5.0
2020-08-22,Los Angeles Lakers,Portland Trail Blazers,8.0
2020-08-23,Utah Jazz,Denver Nuggets,3.5
2020-08-24,Los Angeles Lakers,Portland Trail Blazers,7.5
2020-08-25,LA Clippers,Dallas Mavericks,8.0
2020-08-27,Toronto Raptors,Boston Celtics,2.0
2020-08-27,Utah Jazz,Denver Nuggets,2.0
2020-08-27,LA Clippers,Dallas Mavericks,10.5
2020-08-29,Los Angeles Lakers,Portland Trail Blazers,13.0
2020-08-30,Utah Jazz,Denver Nuggets,3.0
2020-08-31,Houston Rockets,Oklahoma City Thunder,5.0
2020-09-01,Denver Nuggets,Utah Jazz,1.0
2020-09-02,Houston Rockets,Oklahoma City Thunder,5.0
2020-09-03,LA Clippers,Denver Nuggets,9.5
2020-09-04,Los Angeles Lakers,Houston Rockets,6.5
2020-09-05,LA Clippers,Denver Nuggets,9.0
2020-09-06,Los Angeles Lakers,Houston Rockets,5.5
2020-09-07,LA Clippers,Denver Nuggets,9.0
2020-09-08,Los Angeles Lakers,Houston Rockets,4.5
2020-09-09,LA Clippers,Denver Nuggets,7.5
2020-09-11,Boston Celtics,Toronto Raptors,3.0
2020-09-12,Los Angeles Lakers,Houston Rockets,6.5
2020-09-15,LA Clippers,Denver Nuggets,7.5
2020-09-18,Los Angeles Lakers,Denver Nuggets,7.5
2020-09-19,Boston Celtics,Miami Heat,3.5
2020-09-22,Los Angeles Lakers,Denver Nuggets,6.5
2020-09-23,Boston Celtics,Miami Heat,3.5
2020-09-24,Los Angeles Lakers,Denver Nuggets,6.0
2020-09-25,Boston Celtics,Miami Heat,3.5
2020-09-26,Los Angeles Lakers,Denver Nuggets,5.5
2020-09-27,Boston Celtics,Miami Heat,3.0
2020-09-30,Los Angeles Lakers,Miami Heat,4.5
2020-10-02,Los Angeles Lakers,Miami Heat,10.5
2020-10-04,Los Angeles Lakers,Miami Heat,9.5
2020-10-06,Los Angeles Lakers,Miami Heat,7.5
2020-10-09,Los Angeles Lakers,Miami Heat,7.5
2020-10-11,Los Angeles Lakers,Miami Heat,5.5
2020-12-22,Brooklyn Nets,Golden State Warriors,7.0
2020-12-22,Los Angeles Lakers,LA Clippers,3.0
2020-12-23,Milwaukee Bucks,Boston Celtics,4.5
2020-12-23,Phoenix Suns,Dallas Mavericks,1.0
2020-12-23,Toronto Raptors,New Orleans Pelicans,4.0
2020-12-23,Charlotte Hornets,Cleveland Cavaliers,3.0
2020-12-23,Indiana Pacers,New York Knicks,7.5
2020-12-23,Miami Heat,Orlando Magic,4.5
2020-12-23,Philadelphia 76ers,Washington Wizards,7.5
2020-12-23,Atlanta Hawks,Chicago Bulls,2.0
2020-12-23,Memphis Grizzlies,San Antonio Spurs,2.0
2020-12-23,Denver Nuggets,Sacramento Kings,7.5
2020-12-23,Utah Jazz,Portland Trail Blazers,2.0
2020-12-23,Minnesota Timberwolves,Detroit Pistons,5.5
2020-12-25,Los Angeles Lakers,Dallas Mavericks,6.5
2020-12-25,LA Clippers,Denver Nuggets,3.0
2020-12-26,Detroit Pistons,Cleveland Cavaliers,1.0
2020-12-26,Washington Wizards,Orlando Magic,2.0
2020-12-26,Charlotte Hornets,Oklahoma City Thunder,2.5
2020-12-26,Philadelphia 76ers,New York Knicks,8.5
2020-12-26,Indiana Pacers,Chicago Bulls,6.0
2020-12-26,Toronto Raptors,San Antonio Spurs,2.5
2020-12-26,Utah Jazz,Minnesota Timberwolves,9.5
2020-12-26,Phoenix Suns,Sacramento Kings,3.5
2020-12-26,Portland Trail Blazers,Houston Rockets,8.0
2020-12-27,New Orleans Pelicans,San Antonio Spurs,5.0
2020-12-27,Brooklyn Nets,Charlotte Hornets,11.0
2020-12-27,Philadelphia 76ers,Cleveland Cavaliers,7.5
2020-12-27,Milwaukee Bucks,New York Knicks,13.5
2020-12-27,Boston Celtics,Indiana Pacers,2.5
2020-12-27,Golden State Warriors,Chicago Bulls,3.5
2020-12-27,Los Angeles Lakers,Minnesota Timberwolves,9.0
2020-12-27,Orlando Magic,Washington Wizards,2.0
2020-12-27,Phoenix Suns,Sacramento Kings,3.0
2020-12-28,Denver Nuggets,Houston Rockets,6.5
2020-12-28,Los Angeles Lakers,Portland Trail Blazers,3.5
2020-12-28,Utah Jazz,Oklahoma City Thunder,9.0
2020-12-28,Atlanta Hawks,Detroit Pistons,10.0
2020-12-28,Memphis Grizzlies,Brooklyn Nets,2.5
2020-12-29,Washington Wizards,Chicago Bulls,6.0
2020-12-29,Indiana Pacers,Boston Celtics,1.5
2020-12-29,Cleveland Cavaliers,New York Knicks,3.5
2020-12-29,Milwaukee Bucks,Miami Heat,5.5
2020-12-29,Phoenix Suns,New Orleans Pelicans,2.5
2020-12-29,Orlando Magic,Oklahoma City Thunder,6.5
2020-12-29,Philadelphia 76ers,Toronto Raptors,1.5
2020-12-29,LA Clippers,Minnesota Timberwolves,10.5
2020-12-29,Golden State Warriors,Detroit Pistons,4.5
2020-12-29,Denver Nuggets,Sacramento Kings,2.5
2020-12-30,Brooklyn Nets,Atlanta Hawks,5.5
2020-12-30,Dallas Mavericks,Charlotte Hornets,8.5
2020-12-30,Los Angeles Lakers,San Antonio Spurs,6.5
2020-12-30,Boston Celtics,Memphis Grizzlies,6.5
2020-12-30,LA Clippers,Portland Trail Blazers,4.5
2020-12-30,Milwaukee Bucks,Miami Heat,6.5
2020-12-31,Houston Rockets,Sacramento Kings,5.0
2020-12-31,Toronto Raptors,New York Knicks,9.5
2020-12-31,New Orleans Pelicans,Oklahoma City Thunder,5.5
2020-12-31,Utah Jazz,Phoenix Suns,4.0
2021-01-01,Denver Nuggets,Phoenix Suns,4.0
2021-01-01,Charlotte Hornets,Memphis Grizzlies,4.5
2021-01-01,Brooklyn Nets,Atlanta Hawks,6.0
2021-01-01,Los Angeles Lakers,San Antonio Spurs,7.5
2021-01-01,Milwaukee Bucks,Chicago Bulls,14.5
2021-01-01,LA Clippers,Utah Jazz,4.0
2021-01-01,Portland Trail Blazers,Golden State Warriors,4.0
2021-01-01,Miami Heat,Dallas Mavericks,1.5
2021-01-01,Boston Celtics,Detroit Pistons,8.5
2021-01-01,Minnesota Timberwolves,Washington Wizards,1.5
2021-01-02,Indiana Pacers,New York Knicks,9.0
2021-01-02,Toronto Raptors,New Orleans Pelicans,1.0
2021-01-02,Atlanta Hawks,Cleveland Cavaliers,5.5
2021-01-02,Orlando Magic,Oklahoma City Thunder,4.5
2021-01-02,Philadelphia 76ers,Charlotte Hornets,10.0
2021-01-03,Denver Nuggets,Minnesota Timberwolves,8.5
2021-01-03,LA Clippers,Phoenix Suns,3.5
2021-01-03,Portland Trail Blazers,Golden State Warriors,4.5
2021-01-03,Utah Jazz,San Antonio Spurs,5.5
2021-01-03,Dallas Mavericks,Chicago Bulls,4.0
2021-01-04,Philadelphia 76ers,Charlotte Hornets,8.0
2021-01-04,Miami Heat,Oklahoma City Thunder,9.0
2021-01-04,Atlanta Hawks,New York Knicks,7.0
2021-01-04,New Orleans Pelicans,Indiana Pacers,1.5
2021-01-04,Sacramento Kings,Golden State Warriors,2.0
2021-01-04,Toronto Raptors,Boston Celtics,6.0
2021-01-04,Milwaukee Bucks,Detroit Pistons,16.0
2021-01-04,Houston Rockets,Dallas Mavericks,4.0
2021-01-04,Orlando Magic,Cleveland Cavaliers,6.5
2021-01-05,Denver Nuggets,Minnesota Timberwolves,10.5
2021-01-05,Los Angeles Lakers,Memphis Grizzlies,9.5
2021-01-05,Portland Trail Blazers,Chicago Bulls,9.5
2021-01-05,Utah Jazz,Brooklyn Nets,4.5
2021-01-05,LA Clippers,San Antonio Spurs,9.5
2021-01-06,LA Clippers,Golden State Warriors,2.5
2021-01-06,Indiana Pacers,Houston Rockets,3.0
2021-01-06,Philadelphia 76ers,Washington Wizards,6.5
2021-01-06,Orlando Magic,Cleveland Cavaliers,4.5
2021-01-06,Miami Heat,Boston Celtics,2.5
2021-01-06,Atlanta Hawks,Charlotte Hornets,6.0
2021-01-06,Utah Jazz,New York Knicks,8.0
2021-01-06,New Orleans Pelicans,Oklahoma City Thunder,8.0
2021-01-06,Milwaukee Bucks,Detroit Pistons,12.0
2021-01-06,Phoenix Suns,Toronto Raptors,3.0
2021-01-06,Sacramento Kings,Chicago Bulls,7.0
2021-01-07,Philadelphia 76ers,Brooklyn Nets,4.5
2021-01-07,Memphis Grizzlies,Cleveland Cavaliers,5.0
2021-01-07,Portland Trail Blazers,Minnesota Timberwolves,9.5
2021-01-07,Denver Nuggets,Dallas Mavericks,3.0
2021-01-07,Los Angeles Lakers,San Antonio Spurs,6.0
2021-01-08,LA Clippers,Golden State Warriors,6.5
2021-01-08,Los Angeles Lakers,Chicago Bulls,8.5
2021-01-08,Memphis Grizzlies,Brooklyn Nets,1.0
2021-01-08,Phoenix Suns,Detroit Pistons,7.5
2021-01-08,New Orleans Pelicans,Charlotte Hornets,7.0
2021-01-08,Houston Rockets,Orlando Magic,6.5
2021-01-08,Milwaukee Bucks,Utah Jazz,5.5
2021-01-08,Boston Celtics,Washington Wizards,3.5
2021-01-08,New York Knicks,Oklahoma City Thunder,3.0
2021-01-08,Toronto Raptors,Sacramento Kings,2.5
2021-01-09,Miami Heat,Washington Wizards,10.5
2021-01-09,Atlanta Hawks,Charlotte Hornets,5.5
2021-01-09,Indiana Pacers,Phoenix Suns,3.0
2021-01-09,San Antonio Spurs,Minnesota Timberwolves,4.0
2021-01-09,Milwaukee Bucks,Cleveland Cavaliers,8.5
2021-01-09,Portland Trail Blazers,Sacramento Kings,5.5
2021-01-09,Dallas Mavericks,Orlando Magic,6.0
2021-01-10,Los Angeles Lakers,Houston Rockets,4.5
2021-01-10,Toronto Raptors,Golden State Warriors,2.5
2021-01-10,San Antonio Spurs,Minnesota Timberwolves,4.5
2021-01-11,Charlotte Hornets,New York Knicks,5.0
2021-01-11,Portland Trail Blazers,Toronto Raptors,4.5
2021-01-11,Indiana Pacers,Sacramento Kings,5.5
2021-01-11,Atlanta Hawks,Philadelphia 76ers,6.0
2021-01-11,Milwaukee Bucks,Orlando Magic,10.0
2021-01-11,Phoenix Suns,Washington Wizards,6.5
2021-01-11,Memphis Grizzlies,Cleveland Cavaliers,2.5
2021-01-12,San Antonio Spurs,Oklahoma City Thunder,2.5
2021-01-12,Los Angeles Lakers,Houston Rockets,4.5
2021-01-12,Brooklyn Nets,Denver Nuggets,1.5
2021-01-12,Utah Jazz,Cleveland Cavaliers,12.0
2021-01-12,Golden State Warriors,Indiana Pacers,3.0
2021-01-12,Philadelphia 76ers,Miami Heat,9.0
2021-01-13,Milwaukee Bucks,Detroit Pistons,10.5
2021-01-13,Los Angeles Lakers,Oklahoma City Thunder,9.5
2021-01-13,Dallas Mavericks,Charlotte Hornets,3.0
2021-01-13,Brooklyn Nets,New York Knicks,3.0
2021-01-13,Minnesota Timberwolves,Memphis Grizzlies,2.0
2021-01-13,Portland Trail Blazers,Sacramento Kings,3.5
2021-01-13,LA Clippers,New Orleans Pelicans,9.0
2021-01-14,Denver Nuggets,Golden State Warriors,4.5
2021-01-14,San Antonio Spurs,Houston Rockets,7.0
2021-01-14,Philadelphia 76ers,Miami Heat,8.5
2021-01-14,Portland Trail Blazers,Indiana Pacers,3.0
2021-01-14,Toronto Raptors,Charlotte Hornets,10.0
2021-01-15,LA Clippers,Sacramento Kings,7.5
2021-01-15,Utah Jazz,Atlanta Hawks,6.5
2021-01-15,New York Knicks,Cleveland Cavaliers,2.0
2021-01-15,Chicago Bulls,Oklahoma City Thunder,2.0
2021-01-15,Los Angeles Lakers,New Orleans Pelicans,9.0
2021-01-15,Boston Celtics,Orlando Magic,4.5
2021-01-15,Milwaukee Bucks,Dallas Mavericks,8.0
2021-01-16,Toronto Raptors,Charlotte Hornets,6.5
2021-01-16,Portland Trail Blazers,Atlanta Hawks,5.0
2021-01-16,Memphis Grizzlies,Philadelphia 76ers,1.0
2021-01-16,Miami Heat,Detroit Pistons,5.5
2021-01-17,Utah Jazz,Denver Nuggets,1.5
2021-01-17,New Orleans Pelicans,Sacramento Kings,2.5
2021-01-17,LA Clippers,Indiana Pacers,8.5
2021-01-18,Milwaukee Bucks,Brooklyn Nets,4.0
2021-01-18,Los Angeles Lakers,Golden State Warriors,8.5
2021-01-18,Miami Heat,Detroit Pistons,6.0
2021-01-18,Toronto Raptors,Dallas Mavericks,3.5
2021-01-18,Houston Rockets,Chicago Bulls,2.0
2021-01-19,Denver Nuggets,Oklahoma City Thunder,10.0
2021-01-19,Utah Jazz,New Orleans Pelicans,5.5
2021-01-20,Philadelphia 76ers,Boston Celtics,4.5
2021-01-20,Dallas Mavericks,Indiana Pacers,2.5
2021-01-20,Atlanta Hawks,Detroit Pistons,4.5
2021-01-20,Orlando Magic,Minnesota Timberwolves,4.0
2021-01-20,Phoenix Suns,Houston Rockets,5.5
2021-01-20,LA Clippers,Sacramento Kings,10.0
2021-01-20,Golden State Warriors,San Antonio Spurs,1.0
2021-01-20,Toronto Raptors,Miami Heat,4.0
2021-01-20,Brooklyn Nets,Cleveland Cavaliers,10.5
2021-01-21,Milwaukee Bucks,Los Angeles Lakers,2.0
2021-01-21,Utah Jazz,New Orleans Pelicans,7.0
2021-01-21,Golden State Warriors,New York Knicks,5.0
2021-01-22,Atlanta Hawks,Minnesota Timberwolves,6.5
2021-01-22,Toronto Raptors,Miami Heat,2.0
2021-01-22,Sacramento Kings,New York Knicks,3.5
2021-01-22,Phoenix Suns,Denver Nuggets,0.5
2021-01-22,Dallas Mavericks,San Antonio Spurs,2.0
2021-01-22,LA Clippers,Oklahoma City Thunder,13.0
2021-01-22,Brooklyn Nets,Cleveland Cavaliers,6.5
2021-01-22,Charlotte Hornets,Chicago Bulls,3.0
2021-01-22,Indiana Pacers,Orlando Magic,4.5
2021-01-22,Detroit Pistons,Houston Rockets,3.0
2021-01-22,Philadelphia 76ers,Boston Celtics,4.5
2021-01-23,Utah Jazz,Golden State Warriors,7.0
2021-01-23,Los Angeles Lakers,Chicago Bulls,9.5
2021-01-23,New Orleans Pelicans,Minnesota Timberwolves,8.5
2021-01-23,Dallas Mavericks,Houston Rockets,7.0
2021-01-23,Philadelphia 76ers,Detroit Pistons,6.5
2021-01-23,Brooklyn Nets,Miami Heat,8.0
2021-01-23,Denver Nuggets,Phoenix Suns,2.0
2021-01-24,Portland Trail Blazers,New York Knicks,4.0
2021-01-24,Charlotte Hornets,Orlando Magic,2.0
2021-01-24,Boston Celtics,Cleveland Cavaliers,6.0
2021-01-24,Milwaukee Bucks,Atlanta Hawks,9.0
2021-01-24,San Antonio Spurs,Washington Wizards,6.0
2021-01-25,Los Angeles Lakers,Cleveland Cavaliers,12.0
2021-01-25,Denver Nuggets,Dallas Mavericks,2.0
2021-01-25,Golden State Warriors,Minnesota Timberwolves,8.5
2021-01-25,Philadelphia 76ers,Detroit Pistons,4.5
2021-01-25,Indiana Pacers,Toronto Raptors,2.5
2021-01-25,Brooklyn Nets,Miami Heat,7.0
2021-01-25,New Orleans Pelicans,San Antonio Spurs,3.0
2021-01-25,Boston Celtics,Chicago Bulls,3.5
2021-01-25,Portland Trail Blazers,Oklahoma City Thunder,5.0
2021-01-25,Orlando Magic,Charlotte Hornets,1.0
2021-01-26,Utah Jazz,New York Knicks,11.5
2021-01-26,Atlanta Hawks,LA Clippers,6.0
2021-01-26,Houston Rockets,Washington Wizards,4.0
2021-01-27,Cleveland Cavaliers,Detroit Pistons,2.0
2021-01-27,Orlando Magic,Sacramento Kings,1.5
2021-01-27,Indiana Pacers,Charlotte Hornets,3.0
2021-01-27,Milwaukee Bucks,Toronto Raptors,7.0
2021-01-27,Los Angeles Lakers,Philadelphia 76ers,4.0
2021-01-27,Brooklyn Nets,Atlanta Hawks,5.5
2021-01-27,Denver Nuggets,Miami Heat,6.5
2021-01-27,Boston Celtics,San Antonio Spurs,4.0
2021-01-27,New Orleans Pelicans,Washington Wizards,8.0
2021-01-27,Phoenix Suns,Oklahoma City Thunder,7.5
2021-01-27,Utah Jazz,Dallas Mavericks,2.5
2021-01-27,Golden State Warriors,Minnesota Timberwolves,8.5
2021-01-28,Los Angeles Lakers,Detroit Pistons,7.0
2021-01-28,Phoenix Suns,Golden State Warriors,1.5
2021-01-28,Miami Heat,LA Clippers,3.0
2021-01-28,Houston Rockets,Portland Trail Blazers,5.0
2021-01-29,Denver Nuggets,San Antonio Spurs,4.5
2021-01-29,Philadelphia 76ers,Minnesota Timberwolves,7.5
2021-01-29,LA Clippers,Orlando Magic,6.5
2021-01-29,Atlanta Hawks,Washington Wizards,3.5
2021-01-29,Indiana Pacers,Charlotte Hornets,3.5
2021-01-29,Toronto Raptors,Sacramento Kings,4.5
2021-01-29,Milwaukee Bucks,New Orleans Pelicans,7.0
2021-01-29,New York Knicks,Cleveland Cavaliers,2.0
2021-01-29,Utah Jazz,Dallas Mavericks,4.0
2021-01-29,Brooklyn Nets,Oklahoma City Thunder,6.5
2021-01-30,Chicago Bulls,Portland Trail Blazers,2.0
2021-01-30,Golden State Warriors,Detroit Pistons,5.5
2021-01-30,New Orleans Pelicans,Houston Rockets,1.5
2021-01-30,Milwaukee Bucks,Charlotte Hornets,9.0
2021-01-30,Los Angeles Lakers,Boston Celtics,3.0
2021-01-30,San Antonio Spurs,Memphis Grizzlies,4.0
2021-01-30,Miami Heat,Sacramento Kings,6.5
2021-01-30,Dallas Mavericks,Phoenix Suns,1.5
2021-01-31,Indiana Pacers,Philadelphia 76ers,2.5
2021-01-31,Cleveland Cavaliers,Minnesota Timberwolves,2.5
2021-01-31,Brooklyn Nets,Washington Wizards,5.5
2021-01-31,Toronto Raptors,Orlando Magic,5.5
2021-02-01,Los Angeles Lakers,Atlanta Hawks,6.0
2021-02-01,New Orleans Pelicans,Sacramento Kings,2.5
2021-02-01,Houston Rockets,Oklahoma City Thunder,5.0
2021-02-01,Milwaukee Bucks,Portland Trail Blazers,9.5
2021-02-01,San Antonio Spurs,Memphis Grizzlies,4.0
2021-02-01,Miami Heat,Charlotte Hornets,7.5
2021-02-01,Dallas Mavericks,Phoenix Suns,2.5
2021-02-01,Denver Nuggets,Detroit Pistons,8.0
2021-02-01,Cleveland Cavaliers,Minnesota Timberwolves,3.0
2021-02-01,Chicago Bulls,New York Knicks,3.5
2021-02-02,Indiana Pacers,Memphis Grizzlies,4.5
2021-02-02,Boston Celtics,Golden State Warriors,2.5
2021-02-02,Washington Wizards,Portland Trail Blazers,2.5
2021-02-02,Toronto Raptors,Orlando Magic,6.5
2021-02-02,LA Clippers,Brooklyn Nets,2.0
2021-02-02,Utah Jazz,Detroit Pistons,12.0
2021-02-03,Dallas Mavericks,Atlanta Hawks,2.0
2021-02-03,Houston Rockets,Oklahoma City Thunder,7.0
2021-02-03,Chicago Bulls,New York Knicks,1.5
2021-02-03,Phoenix Suns,New Orleans Pelicans,3.0
2021-02-03,San Antonio Spurs,Minnesota Timberwolves,8.0
2021-02-03,Milwaukee Bucks,Indiana Pacers,8.5
2021-02-03,Philadelphia 76ers,Charlotte Hornets,7.0
2021-02-03,LA Clippers,Cleveland Cavaliers,9.0
2021-02-03,Boston Celtics,Sacramento Kings,1.0
2021-02-03,Miami Heat,Washington Wizards,9.5
2021-02-04,Utah Jazz,Atlanta Hawks,10.0
2021-02-04,Dallas Mavericks,Golden State Warriors,4.0
2021-02-04,Philadelphia 76ers,Portland Trail Blazers,10.0
2021-02-04,Memphis Grizzlies,Houston Rockets,3.5
2021-02-04,Los Angeles Lakers,Denver Nuggets,5.0
2021-02-05,Miami Heat,Washington Wizards,7.0
2021-02-05,LA Clippers,Boston Celtics,6.5
2021-02-05,Phoenix Suns,Detroit Pistons,7.5
2021-02-05,Milwaukee Bucks,Cleveland Cavaliers,11.0
2021-02-05,Utah Jazz,Charlotte Hornets,8.5
2021-02-05,Minnesota Timberwolves,Oklahoma City Thunder,2.0
2021-02-05,Chicago Bulls,Orlando Magic,2.5
2021-02-05,Indiana Pacers,New Orleans Pelicans,2.0
2021-02-05,Brooklyn Nets,Toronto Raptors,5.5
2021-02-06,Dallas Mavericks,Golden State Warriors,4.5
2021-02-06,Chicago Bulls,Orlando Magic,1.5
2021-02-06,Toronto Raptors,Atlanta Hawks,2.0
2021-02-06,Milwaukee Bucks,Cleveland Cavaliers,10.5
2021-02-06,Oklahoma City Thunder,Minnesota Timberwolves,2.0
2021-02-06,San Antonio Spurs,Houston Rockets,1.0
2021-02-06,New Orleans Pelicans,Memphis Grizzlies,1.0
2021-02-06,Los Angeles Lakers,Detroit Pistons,13.0
2021-02-06,Philadelphia 76ers,Brooklyn Nets,5.5
2021-02-08,Milwaukee Bucks,Denver Nuggets,3.5
2021-02-08,Phoenix Suns,Cleveland Cavaliers,6.0
2021-02-08,Chicago Bulls,Washington Wizards,4.5
2021-02-08,Houston Rockets,Charlotte Hornets,1.5
2021-02-08,Toronto Raptors,Memphis Grizzlies,3.0
2021-02-08,San Antonio Spurs,Golden State Warriors,1.5
2021-02-08,Dallas Mavericks,Minnesota Timberwolves,10.0
2021-02-08,Los Angeles Lakers,Oklahoma City Thunder,10.5
2021-02-09,Philadelphia 76ers,Sacramento Kings,5.0
2021-02-09,Brooklyn Nets,Detroit Pistons,5.5
2021-02-09,Miami Heat,New York Knicks,6.0
2021-02-09,New Orleans Pelicans,Houston Rockets,6.5
2021-02-09,Utah Jazz,Boston Celtics,6.0
2021-02-09,Portland Trail Blazers,Orlando Magic,6.0
2021-02-09,Golden State Warriors,San Antonio Spurs,1.0
2021-02-10,Indiana Pacers,Brooklyn Nets,1.0
2021-02-10,Dallas Mavericks,Atlanta Hawks,3.5
2021-02-10,Memphis Grizzlies,Charlotte Hornets,2.5
2021-02-10,Denver Nuggets,Cleveland Cavaliers,9.5
2021-02-10,Toronto Raptors,Washington Wizards,5.0
2021-02-10,LA Clippers,Minnesota Timberwolves,9.5
2021-02-10,New Orleans Pelicans,Chicago Bulls,2.5
2021-02-10,Los Angeles Lakers,Oklahoma City Thunder,12.5
2021-02-10,Milwaukee Bucks,Phoenix Suns,4.5
2021-02-11,Golden State Warriors,Orlando Magic,8.0
2021-02-11,Boston Celtics,Toronto Raptors,2.0
2021-02-11,Miami Heat,Houston Rockets,2.0
2021-02-11,Indiana Pacers,Detroit Pistons,3.0
2021-02-11,Philadelphia 76ers,Portland Trail Blazers,5.5
2021-02-12,Charlotte Hornets,Minnesota Timberwolves,3.0
2021-02-12,New York Knicks,Washington Wizards,3.0
2021-02-12,Boston Celtics,Detroit Pistons,7.5
2021-02-12,Denver Nuggets,Oklahoma City Thunder,12.0
2021-02-12,Sacramento Kings,Orlando Magic,8.5
2021-02-12,Los Angeles Lakers,Memphis Grizzlies,7.0
2021-02-12,Dallas Mavericks,New Orleans Pelicans,3.0
2021-02-12,Atlanta Hawks,San Antonio Spurs,2.5
2021-02-12,Portland Trail Blazers,Cleveland Cavaliers,4.0
2021-02-12,LA Clippers,Chicago Bulls,7.5
2021-02-12,Utah Jazz,Milwaukee Bucks,2.5
2021-02-13,Indiana Pacers,Atlanta Hawks,2.0
2021-02-13,Houston Rockets,New York Knicks,1.0
2021-02-13,Brooklyn Nets,Golden State Warriors,3.5
2021-02-13,Utah Jazz,Miami Heat,7.0
2021-02-14,San Antonio Spurs,Charlotte Hornets,4.5
2021-02-14,Toronto Raptors,Minnesota Timberwolves,7.5
2021-02-14,New Orleans Pelicans,Detroit Pistons,5.0
2021-02-14,Dallas Mavericks,Portland Trail Blazers,5.5
2021-02-14,Los Angeles Lakers,Denver Nuggets,3.5
2021-02-14,Milwaukee Bucks,Oklahoma City Thunder,12.0
2021-02-14,Phoenix Suns,Orlando Magic,10.5
2021-02-14,LA Clippers,Cleveland Cavaliers,12.0
2021-02-14,Memphis Grizzlies,Sacramento Kings,1.5
2021-02-15,Atlanta Hawks,New York Knicks,1.5
2021-02-15,Indiana Pacers,Chicago Bulls,5.0
2021-02-15,Washington Wizards,Houston Rockets,2.0
2021-02-15,Miami Heat,LA Clippers,3.0
2021-02-15,Brooklyn Nets,Sacramento Kings,4.5
2021-02-15,Utah Jazz,Philadelphia 76ers,7.0
2021-02-15,Golden State Warriors,Cleveland Cavaliers,9.5
2021-02-16,Boston Celtics,Denver Nuggets,1.5
2021-02-16,Los Angeles Lakers,Minnesota Timberwolves,6.5
2021-02-16,Portland Trail Blazers,Oklahoma City Thunder,5.5
2021-02-16,Phoenix Suns,Brooklyn Nets,7.5
2021-02-16,New Orleans Pelicans,Memphis Grizzlies,1.5
2021-02-16,Milwaukee Bucks,Toronto Raptors,5.5
2021-02-17,New York Knicks,Orlando Magic,3.0
2021-02-17,Philadelphia 76ers,Houston Rockets,8.5
2021-02-17,Indiana Pacers,Minnesota Timberwolves,5.0
2021-02-17,Golden State Warriors,Miami Heat,1.0
2021-02-17,Utah Jazz,LA Clippers,5.0
2021-02-17,Boston Celtics,Atlanta Hawks,2.0
2021-02-17,Denver Nuggets,Washington Wizards,3.5
2021-02-17,New Orleans Pelicans,Portland Trail Blazers,4.0
2021-02-17,Chicago Bulls,Detroit Pistons,3.0
2021-02-17,Memphis Grizzlies,Oklahoma City Thunder,7.0
2021-02-18,Sacramento Kings,Miami Heat,0.5
2021-02-18,Los Angeles Lakers,Brooklyn Nets,3.0
2021-02-18,Milwaukee Bucks,Toronto Raptors,7.5
2021-02-19,Golden State Warriors,Orlando Magic,4.5
2021-02-19,Denver Nuggets,Cleveland Cavaliers,9.5
2021-02-19,Philadelphia 76ers,Chicago Bulls,6.0
2021-02-19,Toronto Raptors,Minnesota Timberwolves,4.0
2021-02-19,Utah Jazz,LA Clippers,5.0
2021-02-19,Boston Celtics,Atlanta Hawks,5.0
2021-02-19,Milwaukee Bucks,Oklahoma City Thunder,10.0
2021-02-19,Memphis Grizzlies,Detroit Pistons,4.5
